Date,00-01,01-02,02-03,03-04,04-05,05-06,06-07,07-08,08-09,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-00,Baseload,Peakload
2025-01-24,92.5,95.5,73.96,47.48,41,41,57,87.5,105.8,117.05,117.19,108.5,103.5,101,96.79,93.5,100,110.9,123.42,122.3,111,99.25,94.8,81.6,92.61,108.33
2025-01-25,70.04,72.5,65,56,56.4,57.5,63.5,77.7,89.75,99.1,109.5,104.1,100.1,99,96.1,98,106.41,115,131,129.09,115,106.41,105.8,99.4,92.6,106.43
2025-01-26,111,107.63,99,92.5,91,80,75,81.1,80.94,84,101.84,103.8,115.29,115.1,116.34,109.6,107.31,113.39,127.5,115.8,111,104.64,78,47.4,98.72,107.58
2025-01-27,33,36.41,50.7,50.7,43.22,39.75,58.4,104.7,103,119,114,113,106.2,107.22,104.4,102.6,102.6,115,130,125,113.62,104.4,101.7,101,90.82,111.84
2025-01-28,84.18,81,81.8,75.8,77.6,75.8,91.5,101,104,110,120.1,114.75,110,108.5,107.15,104.9,105.2,115,127.3,126,108,105.23,102.72,95.49,101.38,112.74
2025-01-29,78,78.5,75,69,67.9,69.1,75.6,93,105.1,110,110.1,107.4,103.2,102.8,104,105.9,105.7,123.1,130,127.4,112,105.8,107,92.8,98.27,111.23
2025-01-30,94.92,98.5,96.68,92.5,90.6,91.4,101,113.1,130,130,123.6,114.2,101.2,99.8,107.2,114,131,151.2,164.94,160.28,139.1,116,113.8,107,115.92,127.29
2025-01-31,103,102,99.44,98,98,97.6,110,115,139,133.8,128,128.8,129,128,133.79,135,142.9,180,226.3,217.9,138.3,120.5,117.64,114.8,130.7,151.87
2025-02-01,118.1,117.5,117,108.3,102.87,101,103.59,113,117,119.4,113,108,103.8,101,100.4,104,113.35,124.1,136.6,134,120,113.4,113.04,102,112.69,114.55
2025-02-02,105.9,103.5,102.57,98.2,96.6,96.6,99.33,105.3,110.1,108,107,106,105.3,114,113,110,120,134.5,144.6,143.9,131,119.3,118.1,106,112.45,118.03
2025-02-03,110.8,107,107,101.97,101,105.5,118.2,120.53,149.5,147.2,126,113,105,105.4,100,103.15,113.5,139,154.5,148,127,113,114.3,104.9,118.14,125.35
2025-02-04,102,101,99,94.2,92.6,94,99.3,110,125.85,131.5,116.3,101,98.17,97.9,101,104.4,110.3,123,145,144,124.7,110.3,109,105.3,109.99,116.54
2025-02-05,97.44,96,93,89.93,91.67,96,109.8,118.65,140.9,135.8,123.8,112,106.19,104.2,107.2,113.8,121.8,140.62,160,160,142,130.7,119.9,113.4,117.7,127.19
2025-02-06,109.6,110.3,108,105,102.6,102.6,113.9,132,164.4,148.5,132.76,115.88,107.32,104,103.8,110,120,133,141.2,135.6,122.3,112.8,112,104.99,118.86,126.37
2025-02-07,108.8,105,104,96.45,95.2,94.4,105,115,135,127.64,122.33,114.63,108.01,104.2,104,104.2,111.5,120.1,133,129.4,123.4,117.2,111.4,98,111.99,117.83
2025-02-08,99,103,103.9,96.3,92.66,89.74,91.5,103.9,105,110.7,118.7,123.7,123.2,126,127.7,123,122.79,131.8,142.5,141.32,132,124.66,122,114,115.38,124.7
2025-02-09,122,118.8,116,108,105.7,105.6,105.3,117.28,119.3,113,114.1,114.9,117,120,119,115.2,121,128.5,141,143.2,134.3,120.1,115.86,109.6,118.53,122.18
2025-02-10,110.75,105.5,102,97.2,95.7,95,111.2,131.09,138.2,133,124.2,116.6,112.4,108.7,108.7,110.7,118.2,127.1,138.83,140.3,134,124,121.9,108,117.22,123.08
2025-02-11,109,105,104.75,102.5,102.5,104,116.6,128.41,138,139.2,137,130.5,127,123,122.1,122.2,127.9,138.41,151.34,151.34,137.73,128.16,120.4,113.71,124.2,134
