Date,00-01,01-02,02-03,03-04,04-05,05-06,06-07,07-08,08-09,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-00,Baseload,Peakload
2025-01-24,110.05,115.09,120,120,125.01,131.65,145.06,153.93,161.14,153.9,147.72,142.92,127.94,125.09,133.29,142.91,142.98,150.1,144.92,140.47,131.22,120,120,115.09,134.19,142.78
2025-01-25,118.05,109.93,98,89.4,94.24,107,118.05,141.7,120.1,118.02,104.48,89.69,91.01,89.26,102.92,117.95,145.38,152.96,155.47,152.84,144.99,141.87,137.08,125.1,119.4,120.01
2025-01-26,131.59,120.24,118.03,111.65,112.17,114.19,116.36,123.73,132.34,129.94,112.26,104.41,97.66,95.74,114.83,120.47,135.62,143.49,132.9,148.31,145,138,120.06,98.07,121.54,122.33
2025-01-27,57.77,53.22,71.06,27.43,39.91,79.07,114.61,142.93,148.78,147.29,120.08,115.17,77.99,126.87,147.29,156.5,150.04,153.08,149.55,146.21,133.29,114.58,109.74,104,111.94,136.57
2025-01-28,93.37,82.01,94.9,91.35,83.49,119.34,140,154.71,144.32,126.02,130.54,125.34,122.22,126.77,131.23,126.12,143.03,150.83,149.78,140.06,141.56,110.35,117.43,104.05,122.87,134.69
2025-01-29,98.43,90.78,84.93,92.1,92.03,111.57,142.91,149.29,146.71,138.08,112.48,94.63,86.49,86.79,99,131.61,146.28,156.17,155.36,152.01,141.35,129.31,120.09,101.8,119.18,125.47
2025-01-30,103.96,103.08,100.06,103.32,101.96,114.68,145.21,154.44,160.3,151.92,133.41,123.25,113.85,113.3,130,152.98,160.33,173.69,170.33,161.28,151.33,134.97,126.94,120.2,133.53,145.39
2025-01-31,120,117.52,114.09,114.57,117.4,121.8,143.53,160.09,163.7,154.82,130.1,126.2,120.06,121.19,120.02,153.81,167.18,180,184.48,178.99,162.66,152.7,148.58,133.24,141.95,150.05
2025-02-01,138.25,130.41,125.01,119.3,120.02,121.57,127.33,144.74,153.46,142.44,128.4,120.08,110.29,103.4,113.7,130.68,155.85,165.93,166.68,162.98,156.6,145.24,141.73,131.74,135.66,137.82
2025-02-02,133.26,126.91,122.99,120.66,122.34,123.41,128.09,135.9,137.3,137.7,130.04,129.33,122.24,111.88,116.94,130.09,154.66,166.21,171.98,173.95,165.5,155.77,148.44,133.24,137.45,140.19
