Date,00:00-00:15,00:15-00:30,00:30-00:45,00:45-01:00,01:00-01:15,01:15-01:30,01:30-01:45,01:45-02:00,02:00-02:15,02:15-02:30,02:30-02:45,02:45-03:00,03:00-03:15,03:15-03:30,03:30-03:45,03:45-04:00,04:00-04:15,04:15-04:30,04:30-04:45,04:45-05:00,05:00-05:15,05:15-05:30,05:30-05:45,05:45-06:00,06:00-06:15,06:15-06:30,06:30-06:45,06:45-07:00,07:00-07:15,07:15-07:30,07:30-07:45,07:45-08:00,08:00-08:15,08:15-08:30,08:30-08:45,08:45-09:00,09:00-09:15,09:15-09:30,09:30-09:45,09:45-10:00,10:00-10:15,10:15-10:30,10:30-10:45,10:45-11:00,11:00-11:15,11:15-11:30,11:30-11:45,11:45-12:00,12:00-12:15,12:15-12:30,12:30-12:45,12:45-13:00,13:00-13:15,13:15-13:30,13:30-13:45,13:45-14:00,14:00-14:15,14:15-14:30,14:30-14:45,14:45-15:00,15:00-15:15,15:15-15:30,15:30-15:45,15:45-16:00,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45,17:45-18:00,18:00-18:15,18:15-18:30,18:30-18:45,18:45-19:00,19:00-19:15,19:15-19:30,19:30-19:45,19:45-20:00,20:00-20:15,20:15-20:30,20:30-20:45,20:45-21:00,21:00-21:15,21:15-21:30,21:30-21:45,21:45-22:00,22:00-22:15,22:15-22:30,22:30-22:45,22:45-23:00,23:00-23:15,23:15-23:30,23:30-23:45,23:45-00:00,Baseload,Peakload
2025-10-01,102.08,91.65,63.14,61.25,86.91,78.45,75.02,67.7,61.57,61.51,36.82,30.39,33.4,33.05,31.58,19.85,43.45,61.9,69.41,1.35,22.25,24.53,36.08,32.35,37.82,61.32,68.11,78.41,86.3,101.84,107.7,114.73,140.78,130.56,115.17,95.25,125.5,105.01,92.24,60,100.24,65,58.81,45,59.07,44.2,35.87,24.97,26.76,22.5,23.92,22.5,16.99,16.68,15.98,15.45,6.67,15.31,16.35,17.76,16.68,18.94,16.79,24.57,19,26.56,43.78,58.55,25.1,50,60,77.67,59.07,75.01,101.52,110.69,105.68,112.21,148.01,134.33,148.01,130.06,102.19,86.79,102.47,89.7,72.01,45.47,92.23,80.26,95.17,86.71,86.87,70.81,87.45,65.01,63.77,58.31
2025-10-02,96.94,74.48,62.59,43.01,73.51,60.45,64.18,72.19,79.84,56.01,47.12,28.74,39.49,28.77,28.77,14.74,31.36,31.02,46.12,49.25,46.99,62.59,71.99,84.98,51.57,78.01,66.93,90.65,71.54,107.75,109.63,121.08,153.01,140.11,115.1,83.66,119.87,103.36,92.29,58.94,84.5,58.5,55.56,36.2,44.1,37.22,33.32,22.5,28.05,20.7,22.5,17.15,20.16,19,16.46,15.06,15.59,16.46,16.79,16.79,15,16.46,16,18.91,20.7,29.9,30.09,46.89,25.1,40.59,55.52,61.33,47.16,67.4,101.68,104.48,90,103.36,110.41,123.9,130.71,95.98,81.69,41.86,99.82,70.95,57.95,15.24,57.16,30.33,68.03,39.82,39.31,29.52,48.35,38.58,57.56,53.91
2025-10-03,58.41,38.55,22.32,11.33,47.56,35.17,28.98,23.53,30.6,50.04,22.52,22.11,26.78,25.58,17.45,21.81,17.69,20.71,17.79,19.86,17.73,31.45,45.45,25.09,23.05,34.46,65.62,77.04,68.93,85.73,94.33,94.6,122.98,112.68,102.97,74.48,115.46,96.22,82.24,54.07,97.43,69.07,60.16,48,58.94,45.96,50,43.88,47.97,44.2,40,35,45.76,42,36.2,32.55,38.08,37.44,40,40.95,32.91,40,40,40,34.45,41.2,45.76,55,40.01,55,59.05,79.49,31.31,40.84,56.92,73.04,48.95,51.2,72.24,68.96,84.75,45.88,56.68,10.89,67.07,36.57,35.92,10.45,37.77,22.86,25.32,22.71,31.76,17.17,13.71,9.31,46.58,56.69
2025-10-04,13.75,9.94,8.52,7.2,8.55,8.11,2.41,0.61,3.83,2.23,0.69,0.62,0.01,0,0,-0.01,0,0,0,0,0,0,0,0,-0.02,-0.01,0,0.05,0.48,1.86,3.97,0.01,9.16,6.48,6.75,4,9.46,14.33,15.45,2.14,14.41,7.96,2.14,0.15,0.41,0.02,0.01,0,0,-0.01,-0.01,-0.01,0,0,-0.01,-0.05,-0.03,-0.02,-0.01,0,-0.03,0,0,0,-0.01,-0.01,-0.01,0,-0.05,-0.01,0,0.65,0.66,5.11,16.12,21.33,18.02,20.12,21.31,20.51,17.79,14.9,12.13,8.73,11.57,8.91,8.69,7.37,9.82,8.31,8.91,6.76,9.33,8.48,7.74,5.18,4.62,4.51
2025-10-05,7.12,6.86,3.26,0,0.89,1.32,0,-0.07,1.85,0,-0.01,-0.02,0,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,0,-0.1,-0.01,0,0.24,5.16,3.58,4.94,2.54,6.56,1.01,0.87,0.45,3.5,5,1.85,0,0.09,0,-0.01,-0.1,-0.02,-0.1,-0.47,-0.99,-0.1,-1,-1.06,-1.8,-2.02,-2.1,-2.27,-2.5,-2.64,-2.57,-2.5,-2.1,-2.1,-1.51,-0.57,0,-0.99,-0.1,-0.01,1.09,0,2.26,9.87,22.6,13.97,21.07,32.18,42.7,35.01,44.2,58.44,72.05,64.92,52.46,37.99,18.52,43.49,34.24,27.55,19.97,32.88,27.35,40.5,27.41,38.53,21.54,23.22,9.84,9.41,7.19
2025-10-06,37.64,29.98,20.2,20,22.24,18.99,18.26,15.61,15.11,16.03,16.6,15.2,16.06,15.62,15.77,16.33,15.01,21.8,21.95,24.83,12.17,13.68,26.38,54.1,25.3,81.68,88.56,102.28,101.03,113.99,115.64,120.74,131.63,130.69,123.17,113.55,136.74,110.34,100.25,86.28,113.64,82.6,64.78,48.07,60.74,55.94,60.57,63.11,81.99,48.11,59.99,42.88,44.87,44.67,40,36.2,36.2,36.64,36.2,36.2,36.2,40,40,45.1,37.8,44,45.5,69.46,47.68,75.39,79.78,92.44,73.05,91,115.08,133.14,118.54,136.92,158.18,159.99,158.18,133.16,127,121.18,127.88,113.77,99.07,102.61,90.46,97.85,115.2,109.62,112.33,88.94,99.61,84.2,69.74,76.36
2025-10-07,105.51,102.6,85.4,61.56,100,89.61,92.68,75.58,85.75,68.32,81.78,66.8,85.97,78.11,79.12,70.18,73.11,71.75,78.86,74.16,71.84,79.1,86.97,99.48,104.57,108.09,87.92,93.34,112.55,117.88,124.5,129.12,150.55,135.79,126.92,116,161.42,119.77,107.67,83.54,96.93,78.72,67.81,60.1,66.33,57.12,45,38.6,58.78,50.73,49,45,45,43.42,40,37.2,37.2,35.75,36.83,39.58,37.2,40.2,45,48.84,44.25,49,59,67.55,60.1,67.81,81.2,101.76,84.22,104.57,115.8,154.86,118.73,148.42,170.13,180.81,175,158.89,131.01,117,147.22,129.01,112.79,103.95,116.35,111.87,106.1,95.37,107.82,98.43,93.57,90.11,89.03,79.38
2025-10-08,101.74,91.4,91.47,89.2,91.85,89.07,87.33,85.5,89.21,88.14,86.99,85.9,85.41,70.46,86.98,81.78,85.66,68.01,66.52,79.36,86.98,93.28,58.64,73.1,92.99,87.43,106.94,111.8,99.41,121.28,134.79,146.52,188.82,160.79,145.94,121.52,133.41,111.8,102.2,92,110.22,102.2,97.86,81.83,100.62,85,70,63.33,80.77,76.49,75,72.5,75.39,70.58,63.5,63.33,65.23,64.8,63.12,65.15,59.84,62.2,64.36,80,47.78,51,68.9,99.69,60.68,84.32,103.54,115.2,65,86.05,102.2,168.67,111.6,153.51,180.46,175,158.93,150.05,128.49,118.73,120.28,108.28,85.89,97.83,86.61,85.26,105.01,97.93,75.78,99.79,95.48,90,95.45,94.65
2025-10-09,101.03,100.01,88,80.42,88,80.42,80.4,75,83.41,80.42,79.4,72.55,75.2,70,69.22,65,65,65,65,67.32,60.5,64.5,70,78.88,75.84,80.42,89.83,97.02,94,100.01,105.37,108.13,131.04,126.16,112.71,106.36,165.5,104.59,99.05,75,108.05,88.82,87.38,75,106.52,81.3,82.03,64.96,100.33,84.41,69.94,45.7,64.09,58.19,32.96,38.28,77.77,49.76,29.98,30.96,21.67,30.94,41.1,71.49,13.65,23.47,60.47,93.41,17.19,64.54,75,111.82,75.86,79.6,125.61,123.32,124.64,129.11,125.24,120.2,122.29,117.2,111.79,106.55,109.81,104.59,99.54,90.32,101.37,94.94,93.76,90.2,102.72,97.98,89.83,80.42,83.48,79.69
2025-10-10,98.23,90.01,86.63,81.2,90.89,84.5,83.5,81.17,83.18,79.99,78.8,78,75,72,73.9,70.92,66,66,70.01,77,70.92,77.89,81.75,84.92,86.27,96.88,97,99.78,92.23,100.53,111.56,123.92,151.18,129.32,109.4,96.01,143.83,101.28,96.73,78,105.26,89.05,84.55,71.31,96.26,66.19,73.54,45,87.67,69.61,69.18,67.74,56.86,39.77,34.4,43.26,32.5,30.2,30.2,40,31.65,44.88,51.31,55,40,49,59.55,60.2,57,75.22,85.48,102.23,78,92.94,101.76,111.8,105.2,111.8,121.22,121.8,124.39,119,110,98.84,111.8,99.45,89.11,71.98,90.95,90.89,98.75,87.19,95.6,93.52,96.9,89.48,83.05,76.97
