Date,00:00-00:15,00:15-00:30,00:30-00:45,00:45-01:00,01:00-01:15,01:15-01:30,01:30-01:45,01:45-02:00,02:00-02:15,02:15-02:30,02:30-02:45,02:45-03:00,03:00-03:15,03:15-03:30,03:30-03:45,03:45-04:00,04:00-04:15,04:15-04:30,04:30-04:45,04:45-05:00,05:00-05:15,05:15-05:30,05:30-05:45,05:45-06:00,06:00-06:15,06:15-06:30,06:30-06:45,06:45-07:00,07:00-07:15,07:15-07:30,07:30-07:45,07:45-08:00,08:00-08:15,08:15-08:30,08:30-08:45,08:45-09:00,09:00-09:15,09:15-09:30,09:30-09:45,09:45-10:00,10:00-10:15,10:15-10:30,10:30-10:45,10:45-11:00,11:00-11:15,11:15-11:30,11:30-11:45,11:45-12:00,12:00-12:15,12:15-12:30,12:30-12:45,12:45-13:00,13:00-13:15,13:15-13:30,13:30-13:45,13:45-14:00,14:00-14:15,14:15-14:30,14:30-14:45,14:45-15:00,15:00-15:15,15:15-15:30,15:30-15:45,15:45-16:00,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45,17:45-18:00,18:00-18:15,18:15-18:30,18:30-18:45,18:45-19:00,19:00-19:15,19:15-19:30,19:30-19:45,19:45-20:00,20:00-20:15,20:15-20:30,20:30-20:45,20:45-21:00,21:00-21:15,21:15-21:30,21:30-21:45,21:45-22:00,22:00-22:15,22:15-22:30,22:30-22:45,22:45-23:00,23:00-23:15,23:15-23:30,23:30-23:45,23:45-00:00,Baseload,Peakload
2025-10-01,102.55,92.17,82.69,81.86,89.54,84.93,83.56,81.69,81.87,81.51,77.42,76.45,79.32,79.24,80.05,79.52,79.94,85.02,83.89,75.83,75.01,80.88,88.18,97.34,87.65,107.93,123.95,143.66,150.66,171.48,172.01,163.35,198.33,142.86,117.23,95.25,139.01,105.01,93.48,79.96,102.82,89.23,78.16,63.7,79.97,68.06,61.13,56.19,61.69,57.42,57.86,57.42,57.09,58.78,60.07,61.14,54.35,60.62,64.4,71.9,57.55,66.28,77.91,88.62,55.07,80.77,95.16,109,76.45,106.42,139.35,190.18,141.68,192.84,285,381,408.5,376.39,321.94,253.14,217.5,154.56,123.11,104.83,125.76,115.82,97.54,87.96,106.69,98.76,95.32,88.02,93.53,88.75,90.62,82.6,111.34,120.76
2025-10-02,99.17,88.52,82.45,79.71,91.19,85.75,81.41,80.93,85.44,80.36,80.19,79.4,82.24,79.77,79.77,76.55,79.39,81.45,85.08,85.82,79.4,85.57,92.72,107.83,86.23,109.51,119.71,151.57,116.73,158.78,167.22,155.99,174.65,149.66,115.25,89.29,122.86,111.58,92.03,71.77,99.8,96.03,83.19,73.96,95.71,83.31,72.08,65.99,70.25,64.35,64.44,60.33,54.55,56.73,57.66,55.48,54.88,58.92,66.16,72.98,55.32,66.49,76.71,87.48,64.33,75.77,88.53,102.58,69.8,81.14,106.99,169.37,105.4,128.83,168.31,219.43,198.48,183.32,152.96,122.82,135.96,108.69,95.05,80.4,98.42,86.09,78.59,75.57,95.96,89.94,90.61,75.23,90.81,79.51,68.89,50.08,95.35,97.04
2025-10-03,89.65,79.56,71.18,62.27,79.31,72.79,65.87,56.58,71.33,62.8,58.34,57.12,56.44,69.49,69.95,67.31,63.44,64.54,70.49,72.08,58.28,65.1,74.39,72.85,77.16,80.16,97.38,84.72,90.43,99.5,95.1,102.16,123.3,114.24,103.14,74.75,136.71,119.99,91.34,67.93,125.99,108.21,90.1,75.3,103.82,92.14,73.94,70.1,84.63,84.29,76.38,67.95,74.88,71.44,70.85,67.21,65,50.86,42.68,40.95,33.2,41.52,61.7,73.97,38.3,48.74,74.28,91,48.72,74.72,95.38,120.78,100,105.96,117.6,116.45,110.46,102.88,93.9,91.95,102.85,74.61,56.01,47.44,70.12,43.52,35.92,16.21,35.07,20.04,20.51,17.12,22.29,7.28,7.49,1.97,72.35,83.53
2025-10-04,2.93,0.1,-1.89,-2.04,-2.35,-2.08,-2.72,-4.01,-3.55,-4.07,-4.08,-4.09,-4.08,-4.09,-4.64,-4.68,-4.03,-4.04,-4.04,-4.04,-4.65,-4.1,-4.08,-4.1,-3.29,-4.03,-4.05,-4,-3.12,-2.08,-2,-1.68,-2.71,-0.09,-0.08,-0.33,0.55,2.79,3.79,0.77,3.65,0.61,0.5,-0.06,0.09,-0.16,-0.05,-0.03,-0.12,-0.04,-0.02,-0.1,-0.3,-0.29,-0.33,-0.63,-1.6,-2.13,-4.04,-8.79,-2.34,-6.5,-4.73,-4.87,-1.76,-3.08,-2.07,-2.04,-1.08,-0.01,0.02,0.91,-0.03,0.06,2.2,2.6,4.39,5.73,6.96,6.17,1.57,2.09,2,1.66,0.1,0.16,0,-0.3,-0.05,0,0.07,-0.06,-0.01,-0.03,-0.08,-1.96,-1.11,-0.18
2025-10-05,-0.01,-0.07,-1.45,-1.1,-1.05,-1.98,-1.46,-1.01,-4.06,-4.07,-4.06,-4.06,-4.08,-4.07,-4.06,-4.09,-4.68,-4.88,-4.91,-4.88,-4.09,-4.09,-4.01,-4.01,-4.06,-4.05,-3.8,-3.08,-2.02,-1.78,-1.42,-0.78,-0.1,-0.09,-0.05,-0.11,0.03,-0.06,-1.95,-3.37,-1.76,-4.01,-4.06,-4.88,-2.02,-2.02,-2.01,-2.02,-4.04,-3.17,-3.13,-3.63,-3.2,-3.38,-3.02,-3.33,-3.02,-2.94,-2.92,-2.54,-2.43,-2.13,-2.02,-3.02,-1.59,-1.02,-0.1,-0.04,-2.88,0.07,1.76,9.61,5.37,11.37,20.87,30.56,23.22,32.04,48.01,56.73,70.1,62.24,45.1,22.53,77.95,50.1,32.91,30.1,52.42,32.09,50.1,24.99,55.71,30.23,20,3.58,7.51,3.28
2025-10-06,30.84,24.53,15.34,13.29,14.32,11.05,10.3,8.09,7.62,9.51,11.05,10.55,11.08,10.87,11.03,11.01,10.86,18.03,17.85,20,7.81,9.9,22.8,49.58,18.71,76.86,80.55,102.61,93.12,107.66,110.75,117.23,127.72,128.54,121.33,112.18,135.96,121.97,116.44,104.24,114.52,101.23,90.34,82.96,92.71,86.93,81.04,78.19,82.58,80.66,82.1,85.97,81.67,88.05,83.88,82.4,76.55,83.42,90.88,89.15,80.65,83.47,86.55,91.83,78.38,88.9,99.93,115.2,86.24,106.7,114.97,142.56,103.73,114.28,142.96,182,161.31,169.59,167.48,159.99,157.34,131.58,126.11,120.89,127.99,122.2,112.81,111.41,127.63,111.72,115.2,109.62,112.33,102.58,103.05,98.46,83.81,105.84
2025-10-07,105.51,102.6,95.6,88.46,100,93.6,92.68,85.44,89.98,85.6,87.71,85.24,88.04,86.19,87.09,86.59,84.01,85.21,91.61,95.46,84.54,90.89,97.13,106.53,105.89,118.3,121.91,139.43,138.6,190.2,241.65,248.89,271.11,257.14,251.51,251.58,277.01,232.55,159.97,130.47,192.36,157.78,131.03,113.31,138.91,123.06,106.84,99.56,112.45,99.75,96.56,95.52,101.12,95.43,94.06,91.46,92.22,93.39,94.53,96.44,90.5,94.73,104.28,116.09,93.53,99.88,115.3,132.97,107.81,120.95,146.01,193.61,143.57,150.1,211.7,272.86,242.63,212.78,194.02,180.81,178.09,158.89,131.01,117,147.22,129.01,112.79,103.95,116.35,111.87,106.1,95.37,107.82,98.43,93.57,90.11,129.99,147.53
2025-10-08,101.74,91.4,91.47,89.2,91.85,89.07,87.33,85.5,89.21,88.14,86.99,85.9,86.71,84.17,86.98,86.17,85.66,84.48,87.11,91.67,86.98,93.28,92.51,102.9,92.99,108.63,120.42,134.53,127.56,148.39,165.45,168.83,203.62,175.34,151.24,135.38,176.35,142.45,119.67,106.06,139.21,119.74,106.31,99.46,120.14,101.96,94.05,85.06,92.65,88.73,86.6,86.05,88.93,87.74,86.06,84.38,82.93,84.88,86.66,94.46,84.27,88.51,95.9,108.61,86.02,94.17,118.25,139.62,96.65,117.95,148.81,203.12,129.74,142.25,195.41,241.07,223.55,199.54,180.46,175,169.2,149.99,128.21,118.39,128.02,116.99,106.9,102.34,110.69,109.91,106.28,97.93,101.68,99.79,95.48,90,115,124.9
2025-10-09,107.75,100.01,90.45,87.41,91.03,91.01,90.41,90.11,94.03,90.42,90.22,89.22,90.08,86.31,86.22,85.52,82.94,84.65,86.8,95.06,83.16,87.55,98.88,114.41,98.39,115.36,126.04,138.91,122.92,142.54,151.77,148.47,168.79,150.73,141.19,129.51,166.31,129.77,119.27,101.26,127.63,108.8,99.85,88.39,106.52,98.84,90.1,83.7,100.33,90.96,85.07,77.42,84.83,83.08,76,65.74,77.77,78.22,75.17,78.09,75.18,81.86,89.22,102.35,79.69,79.6,92.11,100.31,76.86,103.67,106.5,127.43,109.33,117.3,126.54,125.26,125.67,127.03,123.17,118.29,119.85,115.01,110.47,105.17,106.76,101.2,96.16,87.85,111.49,95.62,91.57,88.31,100.1,103.77,89.02,79.37,102.19,103.56
2025-10-10,101.88,90.78,86.49,80.84,90.86,84.4,83.51,81.19,83.19,80,78.91,78.26,79.45,78.18,76.81,77.27,76.53,77.6,75.66,80.53,75.89,80.87,84.47,98.83,84.12,94.17,98.11,119.26,94.52,111.79,123.3,134.17,151.63,132.73,109.4,96.01,143.83,110.24,96.73,78.35,119.77,92.42,84.55,71.31,96.26,81.55,78.23,73.29,87.86,78.65,74.03,67.74,73.24,73.1,73.23,73.24,68.16,78.29,94.98,107.05,69.35,78.69,85.6,94.9,70.62,84.19,92.74,112.06,91.74,106.54,117.9,134.34,103.08,114.09,118.76,132.95,122.19,122.28,123.63,120.92,130.94,119.37,110.07,100.22,115.07,109.31,99.33,85.77,102.58,100.8,98.11,86.27,94.81,93.1,96.68,89.29,95.17,97.13
