Date,00-01,01-02,02-03,03-04,04-05,05-06,06-07,07-08,08-09,09-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-00,Baseload,Peakload
2025-01-24,37.28,40,41.54,37.74,36.11,36.88,40.71,70.28,80.06,59.53,47.06,41.83,37.15,25.12,23.18,23.39,20,26.9,28.66,20.62,21.1,20,13.1,10.12,34.93,36.13
2025-01-25,16.92,21.22,19.89,27.26,24.59,21.21,29.8,47.14,59.9,66.64,79.17,72.27,81.82,81.98,85.09,103.54,124.11,138.6,147.1,144.35,130.75,126.75,124.5,114.99,78.73,98.71
2025-01-26,126.21,115.79,111.3,106.85,105.43,103.06,99.43,105.82,108.36,118.51,105.51,102.57,96.73,90.02,92.52,111.63,125.92,132.77,109.65,82.51,69.51,59.34,43.28,23.89,97.78,106.39
2025-01-27,39.12,35.26,26.38,14.07,10.1,21.52,33.4,51.35,60.49,38.56,40.76,36.94,34.19,35.92,39.97,47.17,50,54.06,54.31,50.31,45.28,40.46,38.53,37.63,38.99,45.22
2025-01-28,38.89,38.03,35.7,38.05,40.86,42.62,57.45,105.87,118.86,115,112.87,108.83,107.09,108.99,112.71,125.17,130.28,139.72,120.5,110.14,85.4,72.09,62.02,50.84,86.58,117.51
2025-01-29,87.72,83.39,78.16,75.64,75.81,80.47,92.86,141.42,142.54,130.45,105.05,89.25,85,85.53,87.67,102.75,132.3,149.57,150.09,138.64,109.16,102.92,107.11,99.33,105.53,116.57
2025-01-30,85.15,83.89,80,76.19,76.32,94.52,112.51,130.09,143.92,138.27,125.01,107.39,107.69,109.57,123.39,140.74,146.03,172.86,166.46,152.09,140.71,126.07,119.23,109.85,119.5,136.12
2025-01-31,107.88,94.94,94.9,93.7,81.43,74.38,104.02,153.98,163.7,154.82,130.1,126.2,120.06,121.19,119.76,149.87,168.26,185.26,184.48,178.99,162.66,152.7,144.31,131.41,133.29,150.22
2025-02-01,136.93,128.91,124.24,119.12,110.46,99.41,116.4,125.46,147.65,142.44,128.4,120.08,110.29,103.4,113.7,128.1,152.11,166.35,167.51,162.98,155.95,145.24,141.73,131.74,132.44,136.92
2025-02-02,133.26,126.91,122.99,120.66,122.34,123.41,128.09,135.9,137.3,137.7,130.04,129.33,122.24,111.88,116.42,127.97,151.21,164.03,172.49,173.95,165.06,145.93,123.15,121.7,135.17,139.55
2025-02-03,125.3,126.63,124.72,120.04,110.91,116.9,159.18,207.88,243.23,178.04,149.95,126.05,117.27,115.29,124.18,144.74,170.71,216,200.73,200.79,167.15,143.58,122.16,93.51,150.21,165.58
2025-02-04,118.67,120.57,110.31,97.5,77.69,80.53,106.58,155.2,197.32,150.6,134.72,112.92,97.34,86.06,78.27,80.76,95.41,99.91,98.97,86.07,75.48,67.93,65.05,52.79,101.94,109.86
2025-02-05,59.46,58.42,58.78,58.49,61.54,75.93,87.06,98.77,107.52,100.39,88,68.68,68.11,68.32,82.68,93.9,108.62,130.44,138.5,137.66,122.43,115.79,106.69,91.28,91.14,99.4
