Date,00:00-00:15,00:15-00:30,00:30-00:45,00:45-01:00,01:00-01:15,01:15-01:30,01:30-01:45,01:45-02:00,02:00-02:15,02:15-02:30,02:30-02:45,02:45-03:00,03:00-03:15,03:15-03:30,03:30-03:45,03:45-04:00,04:00-04:15,04:15-04:30,04:30-04:45,04:45-05:00,05:00-05:15,05:15-05:30,05:30-05:45,05:45-06:00,06:00-06:15,06:15-06:30,06:30-06:45,06:45-07:00,07:00-07:15,07:15-07:30,07:30-07:45,07:45-08:00,08:00-08:15,08:15-08:30,08:30-08:45,08:45-09:00,09:00-09:15,09:15-09:30,09:30-09:45,09:45-10:00,10:00-10:15,10:15-10:30,10:30-10:45,10:45-11:00,11:00-11:15,11:15-11:30,11:30-11:45,11:45-12:00,12:00-12:15,12:15-12:30,12:30-12:45,12:45-13:00,13:00-13:15,13:15-13:30,13:30-13:45,13:45-14:00,14:00-14:15,14:15-14:30,14:30-14:45,14:45-15:00,15:00-15:15,15:15-15:30,15:30-15:45,15:45-16:00,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45,17:45-18:00,18:00-18:15,18:15-18:30,18:30-18:45,18:45-19:00,19:00-19:15,19:15-19:30,19:30-19:45,19:45-20:00,20:00-20:15,20:15-20:30,20:30-20:45,20:45-21:00,21:00-21:15,21:15-21:30,21:30-21:45,21:45-22:00,22:00-22:15,22:15-22:30,22:30-22:45,22:45-23:00,23:00-23:15,23:15-23:30,23:30-23:45,23:45-00:00,Baseload,Peakload
2025-10-01,98.95,91.13,81.79,102.85,93.98,95.24,97.09,105.44,100.39,99.77,98.55,99,93.57,93.68,95.44,92.03,101.64,99.77,86.91,91.35,86.04,92.67,99.18,110.93,100.27,120.01,136.54,154.23,163.96,184.31,182.36,172.82,199.07,143.12,117.54,95.25,139.21,105.01,93.68,83.23,103.29,93.68,81.71,90.07,93.21,91.34,88.23,71.75,87.52,85.85,84.88,79.53,85.96,91.87,93.21,93.61,81.97,93.21,99.77,99.77,93.68,94.81,94.85,103.86,93.68,100.01,104.89,125.96,101.65,136.56,152.9,199.38,152.61,207.18,285.32,379.26,418,387,328.92,258.31,217.31,155.31,130.39,112.59,131.38,122.43,103.89,99.05,109.23,102,95.43,89,94.76,92.05,91.2,85.85,124.37,137.2
2025-10-02,99.66,91.57,86.76,87.89,95.03,93.01,93.01,93.01,95.53,93.01,93.3,93.01,93.01,93.01,93.74,93.01,93.01,92.25,93.42,93.66,86.5,90.6,97.27,112.84,96.93,119.77,137.13,172.26,174.21,200.21,189.99,165.09,151.75,148.99,116.21,91.91,121.82,110.85,92.07,74.35,101.46,99.11,84.8,76.78,92.17,83.6,74.18,68.6,75.4,68.98,67.7,67.6,72.26,71.69,89.36,100.05,75.01,93.33,100.05,100.6,98.31,92.57,93.07,104.22,91.78,92.54,100.05,105.9,100.44,148.79,177.2,176.51,148.02,169.7,190,246.98,263.02,242.17,184.29,156.38,187.41,171.43,133.15,110.85,134.52,119.85,104.9,100.05,111.98,107.57,103.45,92.69,107.3,99.53,86.43,84.39,113.65,115.68
2025-10-03,97.09,93.44,87.69,100.95,102.36,100.95,100.95,100.95,100.95,100.95,100.95,100.95,98.23,99.18,100.02,97.31,112.83,101.59,93.44,93.44,99.82,100.95,103.53,104.15,111.28,121.96,178.41,217,188.61,223.14,196.09,149,151.21,133.89,115.07,93.41,113.28,100.95,84.61,87.58,96.22,71.46,51.57,47.31,49.05,45.49,41.43,68.43,40.36,52,73.28,80.3,72.64,89.13,93.44,93.44,72.71,93.13,93.44,100.95,105.2,104.71,104.71,100.96,93.07,100.68,105.83,124.28,115.03,123.23,161.62,194.5,148.31,167.42,206.06,252.02,205.32,220.49,207.92,174.11,177.96,150.66,148.83,102.36,139.43,104.71,102.36,99.59,102.83,102.36,101.48,93.44,94.6,81.02,100.95,100.95,113.57,110.86
2025-10-04,131.1,102.7,94.59,70.53,89.72,88.76,91.22,101.46,88.69,91.1,94.91,103.77,91.88,92.46,90.35,103.77,87.9,92.54,103.77,103.77,76.22,100.14,103.77,98.33,74.48,85.8,89.23,95.79,30.01,66.72,96.89,151.67,102.48,92.25,39.81,28.06,30.83,15.99,-2.4,-2.4,11.95,1.26,1.1,0.74,1.22,0.47,0.15,0.06,0.34,0.08,0.03,0.03,0.69,0.67,0.76,1.36,2.1,3.88,7.52,17.97,0.43,4.58,24.85,32.94,15.98,50.02,107.06,107.06,81.02,95.79,103.77,93.1,74,95.79,105.29,104.99,107.06,107.06,107.06,98.55,103.77,103.77,92.46,71.45,103.77,103.77,81.64,46.14,103.77,82.99,32,6.09,8.46,6.16,0.41,0,60.46,39.03
2025-10-05,7.74,7.42,4.3,0.11,6.99,0.03,-0.28,-0.31,0.01,0,-0.07,-0.2,0.05,-0.02,-0.15,-0.24,-0.2,-0.02,-0.12,-0.03,0.01,0,0.02,0.05,-0.27,-0.21,0.01,0.01,0.2,0.4,1.54,1.22,0.04,0.08,0.05,-0.17,4.65,3.51,5.44,3.56,3.89,3.51,3.15,3.51,3.79,3.51,3.42,1.62,8.99,3.82,2.64,0.99,1.18,0.49,0.16,10.16,0.05,0.09,0.15,10.43,-1.46,-0.23,2.58,17.94,29.88,80.56,103.84,113.71,115.12,107.13,106.19,95.86,84.55,95.86,103.65,106.19,105.02,106.19,106.18,95.85,93.15,74.64,95.85,98.43,102.3,102.63,95.85,56.31,101.87,95.85,66.65,15.51,89.12,43.06,23.79,6.61,29.66,34.53
2025-10-06,47.66,34.94,20.63,32.73,40.11,36.62,36.96,33.35,31.45,31.18,28.76,24.5,24.02,21.81,19.09,21.38,13.72,20.63,20.66,24.26,8,24.53,95.85,103.84,40.02,89.27,112.65,111.98,95.86,104.76,105.72,111.19,113.86,120.92,114.82,107.31,133.15,120.18,120.31,108.52,114.73,105.72,96.4,88.9,100.25,94.59,86.34,82.46,88.59,87.75,89.93,95.85,87.21,92.13,92.29,92.37,89.99,93.81,103.84,105.72,94.65,101.66,106.66,106.61,101.33,106.19,136.91,138.19,103.37,120.52,138.88,170.61,105.25,108.82,131.53,175.58,155.84,164.83,159.41,159.99,148.12,122.76,122.12,119.28,127.33,123.99,116.05,113.47,137.13,115.14,115.2,109.62,112.33,105.72,103.84,101.54,92.46,112.81
2025-10-07,106.6,106.27,106.27,106.27,106.74,105.05,106.27,107.21,106.27,106.27,106.27,107.21,106.27,106.27,106.27,106.27,106.27,106.27,102.21,102.3,87.56,93.69,99.54,108.2,106.74,124.84,140.79,166.13,150.73,211.99,272.72,289.06,309.08,298.7,288.92,218.2,287.59,244.17,152.35,133.28,156.93,143.31,135.52,117.09,116.5,123.97,120.9,113.42,119.96,111.08,107.56,107.21,114.28,107.64,106.74,104.16,105.11,106.89,108.04,109.76,103.16,107.68,118.36,132.06,106.32,113.08,129.9,149.14,115.51,129.52,156.45,208.41,151.85,163.01,238.9,294.48,283.18,244.2,205,180.81,179.35,158.89,131.01,117,147.22,129.01,112.79,103.95,116.35,111.87,106.1,95.37,107.82,98.43,93.57,90.11,140.3,158.32
2025-10-08,105.67,105.21,118.1,115.33,114.6,109.37,108.54,108.08,106.94,106.88,107.01,107.1,106.87,106.93,107.11,106.95,107.13,106.61,106.61,106.61,106.61,105.68,105.67,110.9,92.99,113.79,122.75,138.01,128.81,151.19,169.41,170.64,203.33,175.01,151.1,135.02,158.44,140.65,118.05,105.68,129.63,115.89,107.64,102.47,123.71,105.07,98.44,104.89,106.14,106.14,106.15,106.14,106.14,105.21,106.61,114.6,107.09,106.61,107.09,104.74,104.74,100.87,102.5,114.6,96.13,104.76,130.37,151.02,104.44,123.84,158.19,218.1,131.57,147.74,205,243.11,241.88,207.14,180.46,175,171.48,149.52,125.92,115.68,127.56,115.85,107.09,102.21,115.76,115.1,106.55,97.93,107.78,99.79,96.44,97.08,124.32,133.32
2025-10-09,109.51,104.81,104.81,106.8,106.79,106.86,106.79,107.02,106.88,106.76,106.72,106.21,106.21,106.64,106.76,106.15,106.19,106.08,105.93,105.78,103.33,96.82,106.04,122,104.81,121.36,133.51,147.45,121.83,149.03,176.15,158.14,177.04,156.34,147.4,132.69,166.49,135.3,123.71,107.03,131.95,114.82,102.89,95.8,106.52,102.99,96.07,92.55,100.33,96.35,98.1,97.68,104.34,105.38,105.45,106.45,104.34,104.34,109.04,109.04,107.63,108.69,109.51,114.91,103.87,109.04,111.06,114.21,104.81,113.33,124.12,121.29,112.96,123.01,128.67,118.98,119.27,117.5,113.72,109.51,114.18,109.04,104.72,99.2,107.96,103.1,96.82,107.85,109.04,106.73,105.1,104.34,104.99,104.34,88.81,66.08,112.7,114.93
2025-10-10,93.68,87.62,85.59,78.53,90.03,82.99,82.64,79.61,83,78.71,77.51,76.7,78.68,77.07,74.01,74.43,78.04,79.25,73.15,75.18,72.31,64.87,67.2,88.32,79.43,95.02,108,108.47,96.11,108.47,112.86,135.59,150.01,133.14,109.4,96.01,143.83,112.6,96.73,78.45,123.87,93.37,84.55,71.31,96.26,80.01,79.31,75.3,87.89,80.36,74.94,67.74,77.04,80.83,79.48,72.1,61.66,80.01,92.2,96.26,78.77,87.15,94.14,104.88,96.18,98.82,115.29,122.22,95.55,106.59,113.97,129.37,97.28,106.03,106.59,121.94,112.33,110.48,109.67,108.22,120.97,109.2,102.44,92.14,109.18,104.94,94.83,92.68,108,98.09,95.24,82.13,91.21,91.15,95.68,88.42,93.85,97.71
